Source,site,lat,lon,Elevation,Vcmax.25,Jmax.25,narea,parea,lma,o_Vcmax,year,species,o_X,o_Jmax
Aktin et al 2015 New Phytologist,a1,-43.42,170.17,215,81.55483338,NA,1.52,0.13,68.2,28.91097505,2008,Aristotelia serrata,NA,NA
Aktin et al 2015 New Phytologist,a1,-43.42,170.17,215,130.6423849,NA,2.22,0.15,153.6,46.31238363,2008,Olearia avicenniifolia,NA,NA
Aktin et al 2015 New Phytologist,a1,-43.42,170.17,215,105.2437124,NA,2.33,0.13,117.2,37.30862068,2008,Hebe sp,NA,NA
Aktin et al 2015 New Phytologist,a1,-43.42,170.17,215,58.9198218,NA,2.46,0.18,232.1,20.88692267,2008,Griselinia littoralis,NA,NA
Aktin et al 2015 New Phytologist,a1,-43.42,170.17,215,75.75752655,NA,2.83,0.19,114.6,26.85584495,2008,Coriaria arborea,NA,NA
Aktin et al 2015 New Phytologist,a2,-43.41,170.17,271,82.62359239,NA,1.42,0.14,79.5,28.38695818,2008,Olearia arboraescens,NA,NA
Aktin et al 2015 New Phytologist,a2,-43.41,170.17,271,43.06309694,NA,1.49,0.11,69.2,14.79517286,2008,Schefflera digitata,NA,NA
Aktin et al 2015 New Phytologist,a2,-43.41,170.17,271,45.59952263,NA,1.56,0.15,62.6,15.66661173,2008,Melicytus ramiflorus,NA,NA
Aktin et al 2015 New Phytologist,a2,-43.41,170.17,271,56.91717015,NA,1.65,0.1,120.4,19.55501186,2008,Coprosma lucida,NA,NA
Aktin et al 2015 New Phytologist,a2,-43.41,170.17,271,123.1042695,NA,1.9,0.21,82.5,42.29488999,2008,Aristotelia serrata,NA,NA
Aktin et al 2015 New Phytologist,a2,-43.41,170.17,271,52.62229329,NA,2.37,0.16,118.6,18.07942255,2008,Coriaria arborea,NA,NA
Aktin et al 2015 New Phytologist,a3,-43.4,170.17,234,119.4272492,NA,1.06,0.11,54.9,41.87970849,2008,Fuchsia excorticata,NA,NA
Aktin et al 2015 New Phytologist,a3,-43.4,170.17,234,50.81175794,NA,1.85,0.21,242,17.81822511,2008,Griselinia littoralis,NA,NA
Aktin et al 2015 New Phytologist,a3,-43.4,170.17,234,73.52267513,NA,1.91,0.18,201.1,25.78229192,2008,Metrosideros umbellata,NA,NA
Aktin et al 2015 New Phytologist,a3,-43.4,170.17,234,188.2446949,NA,2.26,0.23,111,66.01201149,2008,Olearia illcifolia,NA,NA
Aktin et al 2015 New Phytologist,a3,-43.4,170.17,234,31.50023284,NA,2.28,0.18,229.7,11.04622754,2008,Weinmannia racemosa,NA,NA
Aktin et al 2015 New Phytologist,a3,-43.4,170.17,234,94.01999245,NA,2.4,0.16,280,32.97011279,2008,Pseudopanax crassifolius,NA,NA
Aktin et al 2015 New Phytologist,a3,-43.4,170.17,234,39.41375489,NA,2.45,0.28,270.7,13.82127258,2008,Pseudopanax colensoi,NA,NA
Aktin et al 2015 New Phytologist,a4,-43.38,170.18,134,36.06833533,NA,1.59,0.14,161.6,13.36937342,2008,Griselinia littoralis,NA,NA
Aktin et al 2015 New Phytologist,a4,-43.38,170.18,134,51.69097035,NA,2.16,0.17,238.4,19.16018243,2008,Metrosideros umbellata,NA,NA
Aktin et al 2015 New Phytologist,a4,-43.38,170.18,134,16.36077392,NA,2.31,0.16,224.3,6.064413395,2008,Weinmannia racemosa,NA,NA
Aktin et al 2015 New Phytologist,a5,-43.31,170.17,143,14.67357292,NA,1.65,0.08,212.1,5.405974651,2008,Metrosideros umbellata,NA,NA
Aktin et al 2015 New Phytologist,a5,-43.31,170.17,143,4.901195132,NA,1.97,0.09,209.1,1.80567724,2008,Dacrydium cuppressinum,NA,NA
Aktin et al 2015 New Phytologist,a6,-43.25,170.18,68,38.40688741,NA,1.84,0.09,247.5,14.74010646,2008,Metrosideros umbellata,NA,NA
Aktin et al 2015 New Phytologist,a6,-43.25,170.18,68,11.15124439,NA,1.9,0.08,220.4,4.279714929,2008,Weinmannia racemosa,NA,NA
