lon,lat,z,start_yr,end_yr,source,site,species,Family,Genus,Tleaf,narea,parea,lma,Vcmax.tleaf,Vcmax.25,Jmax.tleaf,Jmax.25,Date,Year,Aarea,Ca_Global,PPFD,vpd,Tg,soil_CN,soil_pH,soil_P_total
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Aconitum delphinifolium,Ranunculaceae,Aconitum,19.72,1.23,0.083,40.1,25.6,41.2,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Anemone parviflora,Ranunculaceae,Anemone,15.215,1.74,0.092,52.5,13.5,33.1,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Arctostaphylos alpina,Ericaceae,Arctostaphylos,16.72333333,1.56,0.135,106.8,37.1,77,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Artemisia alaskana,Asteraceae,Artemisia,18.54666667,2.03,0.102,79.5,27.9,49.5,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Astragalus umbellatus,Fabaceae,Astragalus,19.346,3.51,0.192,63.4,35.4,60.2,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Calamagrostis canadensis,Poaceae,Calamagrostis,17.12,1.69,0.09,35,11,22.3,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Carex aquatilis,Cyperaceae,Carex,17.71,1.69,0.122,88.8,15.6,29.4,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Carex bigelowii,Cyperaceae,Carex,18.975,1.87,0.1,89.2,11.4,19.8,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Carex saxatilis,Cyperaceae,Carex,17.63,1.4,0.085,76.2,9.5,18.8,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Dryas integrifolia,Rosaceae,Dryas,17.06,1.45,0.108,85.5,12.3,24.9,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Dryas octopetala,Rosaceae,Dryas,17.91222222,1.73,0.148,82.8,15.4,29.1,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Elymus trachycaulus,Poaceae,Elymus,18.784,1.08,0.111,58.7,20.6,36,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Epilobium latifolium,Onagraceae,Epilobium,18.65,2.27,0.173,67.9,36.1,62.5,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Equisetum arvense,Equisetaceae,Equisetum,18.18,7.67,1.059,208.8,31.6,58.3,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Eriophorum angustifolium,Cyperaceae,Eriophorum,17.53375,1.76,0.135,69.6,20.8,40.6,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Eriophorum vaginatum,Cyperaceae,Eriophorum,18.235,3.72,0.305,185,26.3,48.5,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Festuca rubra,Poaceae,Festuca,18.628,2.7,0.178,161.8,18.7,33,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",GentiaNAglauca,Gentianaceae,Gentiana,17.69,0.79,0.126,43.1,11,21.5,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Geum glaciale,Rosaceae,Geum,18.22,2.48,0.27,99.6,23.9,44.3,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Hedysarum alpinum,Fabaceae,Hedysarum,18.277,2.38,0.101,71.1,44.1,80.7,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
-149.6,68.63,720,2001,2015,Atkin et al. 2015 New Phytologist,"Toolik Lake, Alaska",Kobresia sibirica,Cyperaceae,Kobresia,17.44,3.7,0.168,158.4,18.8,37.6,NA,NA,NA,NA,NA,386.047715,312.58734129613924,0.1878421711793242,6.9674785341760295,NA,NA,NA
