lon,lat,Ca,pH,N,CN,P_total,NP,pft_value,pft_type,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre11,pre12,radi1,radi2,radi3,radi4,radi5,radi6,radi7,radi8,radi9,radi10,radi11,radi12,tmn1,tmn2,tmn3,tmn4,tmn5,tmn6,tmn7,tmn8,tmn9,tmn10,tmn11,tmn12,tmx1,tmx2,tmx3,tmx4,tmx5,tmx6,tmx7,tmx8,tmx9,tmx10,tmx11,tmx12,vap1,vap2,vap3,vap4,vap5,vap6,vap7,vap8,vap9,vap10,vap11,vap12,qair1,qair2,qair3,qair4,qair5,qair6,qair7,qair8,qair9,qair10,qair11,qair12
-0.46,44.42,360.67,NA,NA,NA,NA,NA,11,Evergreen Forest,122.7177987,100.4778042,79.00358801,40.60280602,73.17922219,25.21981951,51.319922,82.4914674,113.6630128,43.5007168,72.48067654,157.9899418,65.99487366,97.2945858,167.5398581,223.1447016,263.3933205,283.535353,284.090167,251.75733,167.3773155,124.8365404,75.766684,47.300246,3.335954087,6.047207002,4.590571749,7.608014836,10.73074909,13.34617605,17.41303942,16.89222656,11.95136772,12.58854585,5.828503829,4.306039826,10.80464704,14.15956845,14.15031221,17.00131837,21.40315148,23.83936356,28.64934811,27.63728751,21.32011439,22.50515984,14.51794419,10.77412766,8.371671314,10.26166719,8.143434225,9.790007854,11.39233924,13.51908656,17.88951151,17.04811604,14.0893832,14.62995058,9.40157534,8.212159385,0.00511912,0.0062004,0.00527838,0.00591764,0.00719844,0.00861745,0.01111457,0.0112804,0.00843122,0.00896618,0.00581293,0.00600959
-0.767,44.7,369.64,NA,NA,NA,NA,NA,31,Herbaceous,80.51210478,62.46243017,63.78962943,79.90807985,77.12532632,64.11255448,49.49691795,56.96749752,82.15350664,94.50712383,110.3320264,96.0230487,59.25086489,91.19944157,153.9322733,191.2413591,233.7604347,268.4654284,270.5423819,238.5016162,188.2906406,104.0244902,53.46544186,50.6992439,3.59741028,3.772495561,5.746116499,7.486382373,11.13504145,14.01828871,15.87086621,16.1041575,13.17865453,10.57254221,6.303334559,3.924865687,10.24443062,11.72763833,15.02800172,16.96581521,20.91384278,24.30286965,26.32853102,26.73336958,23.49847241,19.1640601,13.60522064,10.41307763,8.394046487,8.477546406,9.027667095,9.852214388,12.39266468,14.57062868,16.65536086,17.08674158,14.70585468,12.62802962,10.11489891,8.28912682,0.00466952,0.00614751,0.00552478,0.00627454,0.00860549,0.00927144,0.00963379,0.01102886,0.00980819,0.00835205,0.00677071,0.00605552
-1.164,12.733,381.8958333,5.86,0.57,10.78,229.8,24.80417755,31,Herbaceous,0.018765368,0.376449497,3.567798618,24.86795615,55.984332,96.62378289,161.9256232,229.1233694,143.3007799,42.82657647,1.633489173,0.064486555,243.4752505,263.5544489,282.4985647,286.0001205,280.5674017,267.5320817,244.500774,242.2677048,240.0346356,254.9068515,254.308879,237.7851833,17.17929776,20.12869455,24.16872258,26.66866513,26.4084457,24.45239782,22.76481214,22.26156061,22.52651174,22.94086843,19.98606483,17.60216983,33.44834312,36.41528693,39.26520477,39.80335978,38.08305368,35.39739411,32.47651885,31.1891131,32.61768264,35.65802021,36.38918942,34.3522223,7.083833172,7.738210553,11.00442311,19.28193789,24.4317778,26.30704972,27.39084681,28.07969372,27.7979717,25.94089207,14.55493385,9.26696922,0.00401324,0.00463383,0.00504033,0.01037745,0.0146724,0.01466714,0.01550597,0.0170213,0.01727998,0.01645323,0.00539165,0.00393746
-1.165,12.731,381.8958333,5.74,0.66,10.22,151.1,43.67968233,31,Herbaceous,0.018877718,0.377581291,3.574015673,24.90513802,56.02558592,96.6594262,161.973011,229.1877089,143.3725333,42.86648181,1.636528792,0.064706845,243.480964,263.5589043,282.4966173,285.9773781,280.5462731,267.5019048,244.4558114,242.2237477,239.9916839,254.8878973,254.3081149,237.7911023,17.18113845,20.1305337,24.17022826,26.66851147,26.40649795,24.45035362,22.76374177,22.26085282,22.52515621,22.93970764,19.98627428,17.60352233,33.44996612,36.41648111,39.26481277,39.80107077,38.07963145,35.39376086,32.47384396,31.18687631,32.61489953,35.655128,36.38859947,34.35323467,7.084927008,7.740022765,11.00796793,19.28741946,24.43529973,26.30858756,27.39113811,28.07943922,27.79833587,25.94425832,14.55817755,9.268473126,0.00401368,0.00463452,0.00504174,0.01038049,0.01467412,0.01466797,0.01550668,0.01702262,0.01728117,0.01645558,0.00539275,0.00393756
-1.18,7.3,381.59,NA,NA,NA,NA,NA,22,Mixed Forest,5.890093188,40.66342322,78.63173836,68.57604001,212.6804445,134.1060422,97.63265022,86.77618654,179.0907132,28.85069339,1.393281432,211.3555988,211.3555988,227.5439233,228.094913,227.7631992,199.4298395,181.4196658,168.6612055,156.0294938,165.5822905,190.8230744,222.9028731,216.0891962,21.72310849,24.16458985,23.81561491,24.67014708,23.22503882,23.09521738,22.86726458,22.88161376,22.50949034,22.66801013,21.89688581,23.03073783,33.29928819,35.38092055,34.79816385,34.77495587,32.09891548,31.9194352,30.22236925,29.3922845,30.00955138,31.75886041,32.33561256,32.57801484,24.20679119,24.60401433,25.90871762,28.16294255,28.47217415,28.5446443,27.76857533,27.07944137,27.66958065,28.91023914,25.49349797,22.0767568,0.01411987,0.01970958,0.01893166,0.02032277,0.01861746,0.01854567,0.01803486,0.01812498,0.01901677,0.01933889,0.01487912,0.01246248
-1.180436,7.301943,381.8958333,5.56,0.55,11.38,94.4,58.26271186,22,Mixed Forest,10.04526542,32.15802466,75.40043413,139.353519,162.1500675,167.1964274,136.4895505,111.2984984,158.7377133,146.858077,42.46191756,14.27624099,216.4853587,231.0443433,228.0820109,217.09224,204.255776,174.9375168,164.2761013,166.9554694,169.6348375,191.6875989,209.3430961,210.2334061,20.76759351,23.5251614,23.77677427,23.7203339,23.37639339,22.59912879,22.20822515,21.95991563,22.03913299,22.23926265,22.12598844,21.09926136,33.27765971,35.22353872,34.79951775,33.57978549,32.47490436,30.7810432,29.18719174,28.81093204,29.86055107,31.05736213,32.42629812,32.41395561,19.62467281,22.31832663,25.75706002,28.53625658,28.79104915,28.02906627,27.13285256,26.89885234,27.45005009,28.06963758,26.85178257,23.40747338,0.01459968,0.02021589,0.01910418,0.02045755,0.01865751,0.01875784,0.01796055,0.01801524,0.01887427,0.01930397,0.01523032,0.01299223
-1.467973,15.343822,381.8958333,6.54,0.14,10.36,69.7,20.08608321,31,Herbaceous,0,0.073038592,0.229610149,3.944653821,15.34300639,40.64073612,93.40352518,124.2517241,60.61078442,11.84183037,0.002608714,3.84E-06,232.7269947,258.4138764,285.7441991,302.734724,297.526239,291.820325,284.6742421,281.9112134,279.1481846,268.5776441,248.9936222,226.4284294,15.9786341,18.3129042,22.4553673,26.00352078,28.53291266,27.7335143,25.43129214,24.29995183,24.92340048,24.5606623,20.24332891,16.89761429,31.20455206,34.36540472,38.29014949,41.19734312,42.03442119,40.4166832,37.06122996,35.11772016,36.78919159,38.44265877,35.92598073,32.50977969,6.413517213,6.738625116,8.056230733,12.69256827,18.23519313,23.12872563,26.18305887,27.53644328,25.86585964,19.67865578,10.7220856,8.212312669,0.00250406,0.0031489,0.00225788,0.00474411,0.00710506,0.01068915,0.01395586,0.01590115,0.01464298,0.0105192,0.0035863,0.00311858
-1.547257,15.335457,381.8958333,6.83,0.14,12.58,63.3,22.11690363,31,Herbaceous,0,0.079797397,0.248623845,4.058400103,15.49405582,40.87757234,94.20048422,125.1899368,61.50294555,12.14210179,0.003059337,5.36E-06,232.6821435,258.3849943,285.7210397,302.3966018,297.3390961,291.7395816,284.2892145,281.5981818,278.9071491,268.4894599,248.9784902,226.4016346,15.97197785,18.30539184,22.44310862,25.97969817,28.48517291,27.67767988,25.37625714,24.25411069,24.86616721,24.51139863,20.2210071,16.88972104,31.19555913,34.35758154,38.26815276,41.16146594,41.98899221,40.36248337,36.99820761,35.04807603,36.70375849,38.37233404,35.89349347,32.48769894,6.422560633,6.758295318,8.048039779,12.70462615,18.25658086,23.1507386,26.19158322,27.52965597,25.89758881,19.7790698,10.75180971,8.238121784,0.00249975,0.00314975,0.00225411,0.00473614,0.00707486,0.01066797,0.01395553,0.01591039,0.01464602,0.01049515,0.00357562,0.00311361
-1.69199,7.714947,381.8958333,5.73,0.65,11.34,141,46.09929078,22,Mixed Forest,8.463002313,36.44336574,93.92998583,158.6468378,180.0793761,164.3663181,101.3918654,71.93833967,140.8087023,151.5411444,48.19045566,13.40919017,211.9619825,224.4190314,223.4915811,212.0161937,199.9571084,169.8459631,158.6629375,160.7745711,162.8862048,183.0195377,196.6915586,203.7056077,19.84078886,23.35126582,22.79929391,22.71857594,22.49404495,21.81613705,21.49770561,21.11166289,21.30671591,21.56017644,21.68663801,20.38417024,32.66861074,34.7253088,34.07488601,32.83746499,31.81585908,30.24613725,28.48641488,27.99565207,29.17176195,30.23824798,31.37072197,31.39723933,18.95644898,21.82878539,25.08485706,27.97981138,28.03886374,27.18709843,25.99794612,25.55652943,26.30316465,27.15092691,26.76428935,22.90106723,0.01631266,0.02220718,0.01996208,0.02081131,0.01879349,0.01949206,0.01786057,0.01788236,0.01831925,0.0192085,0.01619497,0.014596
-1.693679,7.714034,381.8958333,6.6,1.12,11.16,225.2,49.73357016,22,Mixed Forest,8.459402509,36.43338121,93.92924737,158.6417868,180.0807472,164.354909,101.3876905,71.95076007,140.8259232,151.5364694,48.18575076,13.40387455,211.9614257,224.4168278,223.4894044,212.0108585,199.9546414,169.8422629,158.6543504,160.7639352,162.87352,183.010077,196.6873814,203.7030681,19.84050267,23.35166697,22.79954527,22.71878506,22.4943025,21.81609367,21.49792154,21.11174909,21.30664299,21.56021265,21.68667514,20.38389774,32.66943113,34.72612817,34.07563092,32.83794187,31.81628278,30.24626323,28.48661905,27.9958689,29.17193639,30.2385283,31.37114518,31.39789061,18.95506463,21.82803162,25.08427977,27.98011206,28.03911311,27.18729724,25.99804082,25.5567072,26.30334603,27.15101348,26.7642584,22.8996062,0.01631194,0.02220681,0.01996176,0.02081079,0.01879298,0.01949152,0.01786059,0.01788249,0.01831932,0.01920832,0.01619414,0.01459492
